search_date,arrival,departure,num_adults,num_children,search_id,hotel_id,hotel_price,is_promo,hotel_feature_1,hotel_feature_2,hotel_feature_3,hotel_feature_4,hotel_feature_5,booked
25,457,471,3,2,0,517,1724.38,0,64.4903093495,85.0,7,0,0,0
25,457,471,3,2,0,517,1724.38,0,64.4903093495,85.0,7,0,0,0
25,457,471,3,2,0,29771,1905.54,1,25.8263431403,52.0,13,1,1,0
25,458,463,2,0,1,517,2077.95,0,64.4903093495,85.0,9,0,0,0
25,458,463,2,0,1,40744,6822.1,0,24.9599679487,52.0,11,1,2,0
25,458,463,2,0,1,19030,2906.65,0,59.219929078,55.0,5,0,1,0
25,458,463,2,0,1,5972,3738.35,0,76.6028720088,90.0,26,2,3,0
25,458,463,2,0,1,46278,3602.35,0,23.6431808351,52.0,30,2,1,0
25,458,463,2,0,1,26115,2353.8,0,142.513157287,52.0,28,0,4,0
25,452,462,3,0,2,517,4138.9,0,64.4903093495,85.0,8,0,0,0
4,262,272,2,1,3,517,3705.14,0,64.4903093495,85.0,62,0,0,0
4,262,272,2,1,3,28297,3590.2,1,68.7022561493,93.0,13,3,1,0
4,262,272,2,1,3,8861,3187.06,1,67.394361782,52.0,27,4,4,0
4,262,272,2,1,3,21787,4251.46,0,47.9583152331,90.0,89,5,4,0
4,262,272,2,1,3,9227,3536.4,0,20.6155281281,55.0,131,6,5,0
4,262,272,2,1,3,1002,3898.2,0,18.8148877222,95.0,38,7,1,0
4,262,272,2,1,3,30603,4151.27,0,58.386642308,52.0,72,8,0,0
4,262,272,2,1,3,33462,4082.8,1,142.923056223,52.0,36,1,4,0
4,258,274,2,1,4,517,6442.64,0,64.4903093495,85.0,60,0,0,0
4,258,274,2,1,4,17812,7386.83,1,132.382022949,52.0,14,1,1,0
4,258,274,2,1,4,33390,7781.81,0,142.502631555,95.0,105,7,4,0
4,258,274,2,1,4,33390,7781.81,0,142.502631555,95.0,105,7,4,0
4,258,274,2,1,4,19030,6520.78,0,59.219929078,55.0,83,0,1,0
4,258,274,2,1,4,21787,7684.73,0,47.9583152331,90.0,84,5,4,0
4,258,274,2,1,4,5001,5795.37,0,142.923056223,52.0,99,1,1,0
4,258,274,2,1,4,31696,5294.83,1,139.889241902,52.0,54,1,4,0
4,258,274,2,1,4,9693,13408.34,0,125.139921688,52.0,64,9,4,0
4,258,274,2,1,4,32313,7565.92,0,17.8605710995,52.0,123,10,4,0
4,258,274,2,1,4,32313,7565.92,0,17.8605710995,52.0,123,10,4,0
4,258,274,2,1,4,33462,7418.68,1,142.923056223,52.0,32,1,4,0
4,258,274,2,1,4,23368,5635.38,1,66.7832314283,71.0,29,9,4,0
4,258,274,2,1,4,15696,8668.0,1,133.652534581,66.0,131,2,1,0
6,170,178,2,1,5,517,518.7,1,64.4903093495,85.0,95,0,0,0
6,170,178,2,1,5,19030,598.48,1,59.219929078,55.0,90,0,1,0
6,170,178,2,1,5,1416,595.8,1,139.143810498,52.0,27,1,1,0
6,212,219,4,0,6,517,2074.59,1,64.4903093495,85.0,88,0,0,0
6,212,219,4,0,6,517,2074.59,1,64.4903093495,85.0,88,0,0,0
6,212,219,4,0,6,10152,1773.17,0,120.440856855,93.0,162,6,4,0
6,212,219,4,0,6,12948,2137.51,0,77.7238702073,80.0,75,4,4,0
6,212,219,4,0,6,5001,1835.68,1,142.923056223,52.0,137,1,1,0
6,212,219,4,0,6,24505,1585.9,1,142.923056223,52.0,5,1,5,0
6,212,219,4,0,6,31696,1767.41,1,139.889241902,52.0,69,1,4,0
6,212,219,4,0,6,9693,2003.56,1,125.139921688,52.0,59,9,4,0
6,212,219,4,0,6,31150,1690.36,1,46.2385120868,52.0,33,1,1,0
6,212,219,4,0,6,31150,1690.36,1,46.2385120868,52.0,33,1,1,0
6,212,219,4,0,6,32352,2186.34,1,69.7997134665,52.0,110,1,1,0
6,147,161,2,0,7,517,2742.32,1,64.4903093495,85.0,86,0,0,0
6,147,161,2,0,7,14605,2519.18,1,139.06832853,58.0,63,1,5,0
6,147,161,2,0,7,14605,2519.18,1,139.06832853,58.0,63,1,5,0
6,147,161,2,0,7,14605,2519.18,1,139.06832853,58.0,63,1,5,0
6,147,161,2,0,7,24505,2854.6,1,142.923056223,52.0,4,1,5,0
6,159,168,4,0,8,517,526.32,1,64.4903093495,85.0,87,0,0,0
6,116,131,3,2,9,517,3631.55,1,64.4903093495,85.0,51,0,0,0
6,137,149,2,1,10,517,2748.06,1,64.4903093495,85.0,90,0,0,0
6,137,149,2,1,10,33668,3160.5,0,69.6778300466,90.0,7,1,1,0
6,137,149,2,1,10,20265,2691.09,1,134.413540985,5.0,10,1,4,0
6,137,149,2,1,10,1416,3131.48,1,139.143810498,52.0,27,1,1,0
6,147,158,3,0,11,517,643.28,1,64.4903093495,85.0,86,0,0,0
6,147,158,3,0,11,23712,634.84,1,21.9772609758,95.0,88,1,1,0
6,147,158,3,0,11,20265,624.25,1,134.413540985,5.0,9,1,4,0
6,147,158,3,0,11,8311,1647.69,1,42.5323406363,52.0,3,1,3,0
6,147,158,3,0,11,31366,528.85,0,15.2643375225,95.0,8,11,5,0
10,151,159,2,2,12,517,467.84,1,64.4903093495,85.0,38,0,0,0
10,151,159,2,2,12,17812,636.96,1,132.382022949,52.0,20,1,1,0
10,151,159,2,2,12,39905,1308.16,1,42.4617474911,52.0,37,1,0,0
10,151,159,2,2,12,5972,1063.44,0,76.6028720088,90.0,124,2,3,0
10,151,159,2,2,12,5972,1063.44,0,76.6028720088,90.0,124,2,3,0
10,151,159,2,2,12,30603,805.52,1,58.386642308,52.0,44,8,0,0
10,151,159,2,2,12,43937,985.44,1,20.1990098767,52.0,8,12,0,0
10,151,159,2,2,12,16657,477.04,0,25.8263431403,52.0,198,6,1,0
10,151,159,2,2,12,37371,782.16,1,12.8840987267,78.0,166,9,5,0
10,151,159,2,2,12,37371,782.16,1,12.8840987267,78.0,166,9,5,0
10,93,103,3,0,13,517,2983.66,1,64.4903093495,85.0,35,0,0,0
10,93,103,3,0,13,33668,2940.0,1,69.6778300466,90.0,4,1,1,0
10,93,103,3,0,13,33668,2940.0,1,69.6778300466,90.0,4,1,1,0
10,160,174,2,3,14,517,2798.18,1,64.4903093495,85.0,28,0,0,0
10,160,174,2,3,14,517,2798.18,1,64.4903093495,85.0,28,0,0,0
10,160,174,2,3,14,8861,6972.75,1,67.394361782,52.0,33,4,4,0
10,160,174,2,3,14,6622,2894.26,1,67.7126280689,90.0,42,6,1,0
10,160,174,2,3,14,39905,8495.85,1,42.4617474911,52.0,27,1,0,0
10,160,174,2,3,14,33078,3153.46,1,79.5235814083,46.0,8,4,1,0
10,160,174,2,3,14,33078,3153.46,1,79.5235814083,46.0,8,4,1,0
10,160,174,2,3,14,33078,3153.46,1,79.5235814083,46.0,8,4,1,0
10,160,174,2,3,14,12383,3379.48,1,34.9141805002,52.0,93,1,1,0
10,160,174,2,3,14,22748,4005.72,1,65.4064217031,88.0,15,4,1,0
10,160,174,2,3,14,46285,6995.46,0,26.6833281283,52.0,70,7,4,0
10,160,174,2,3,14,35017,5614.83,1,135.966907739,0.0,41,6,1,0
10,142,150,2,0,15,517,1789.22,1,64.4903093495,85.0,42,0,0,0
10,142,150,2,0,15,13666,1444.32,0,133.379158792,90.0,66,1,1,0
10,142,150,2,0,15,13666,1444.32,0,133.379158792,90.0,66,1,1,0
10,142,150,2,0,15,19030,2134.17,1,59.219929078,55.0,23,0,1,0
10,142,150,2,0,15,6622,1506.92,1,67.7126280689,90.0,71,6,1,0
10,142,150,2,0,15,37552,3346.18,0,55.6057550978,52.0,65,13,4,0
10,146,159,2,0,16,517,2711.02,1,64.4903093495,85.0,39,0,0,0
10,146,159,2,0,16,6622,2525.33,1,67.7126280689,90.0,66,6,1,0
10,146,159,2,0,16,17348,4134.01,0,47.9583152331,80.0,191,14,5,0
10,146,159,2,0,16,21463,5163.47,0,98.6154146166,52.0,111,7,1,0
10,146,159,2,0,16,5001,3218.8,1,142.923056223,52.0,86,1,1,0
10,146,159,2,0,16,1416,3271.67,1,139.143810498,52.0,18,1,1,0
10,146,159,2,0,16,9693,3149.21,1,125.139921688,52.0,47,9,4,0
10,146,159,2,0,16,11787,3945.62,0,135.966907739,52.0,30,1,1,0
10,146,159,2,0,16,23368,3402.23,1,66.7832314283,71.0,48,9,4,0
10,146,159,2,0,16,45622,1496.11,0,123.482792323,52.0,11,15,1,0
10,146,159,2,0,16,16320,3781.89,0,47.9583152331,80.0,116,4,5,0
10,146,159,2,0,16,16320,3781.89,0,47.9583152331,80.0,116,4,5,0
10,146,159,2,0,16,32352,4109.07,1,69.7997134665,52.0,94,1,1,0
